Frequency (Hz)	Level (dB)
2939.282227	-53.225025
2950.048828	-53.779419
2960.815430	-53.973560
2971.582031	-53.950386
2982.348633	-53.840221
2993.115234	-53.840790
3003.881836	-53.900860
3014.648438	-53.811306
3025.415039	-53.499508
3036.181641	-47.615723
3046.948242	-37.887070
3057.714844	-39.956093
3068.481445	-51.420410
3079.248047	-53.693390
3090.014648	-53.894417
3100.781250	-54.031414
3111.547852	-53.959156
3122.314453	-54.206726
3133.081055	-54.288647
3143.847656	-53.956715
3154.614258	-53.891537
3165.380859	-52.091606
3176.147461	-41.557468
3186.914062	-39.954884
3197.680664	-49.610458
3208.447266	-53.980343
3219.213867	-54.213463
3229.980469	-54.256298
3240.747070	-54.407494
3251.513672	-54.427704
3262.280273	-54.323593
3273.046875	-54.505180
3283.813477	-54.543541
3294.580078	-54.377392
3305.346680	-49.415718
3316.113281	-44.983200
3326.879883	-50.326801
3337.646484	-54.375237
3348.413086	-54.611446
3359.179688	-54.667076
3369.946289	-54.689941
3380.712891	-54.605007
3391.479492	-54.446945
3402.246094	-54.613995
3413.012695	-54.559654
3423.779297	-54.218128
3434.545898	-48.215271
3445.312500	-39.152462
3456.079102	-41.869083
3466.845703	-53.138657
3477.612305	-54.625965
3488.378906	-54.645046
3499.145508	-54.502308
3509.912109	-54.419220
3520.678711	-54.553059
3531.445312	-54.742279
3542.211914	-54.851173
3552.978516	-54.734825
3563.745117	-53.725986
3574.511719	-46.658615
3585.278320	-45.834217
3596.044922	-53.128906
3606.811523	-54.802094
3617.578125	-54.881660
3628.344727	-54.848583
3639.111328	-54.942738
3649.877930	-54.840950
3660.644531	-54.650692
3671.411133	-54.651207
3682.177734	-54.831585
3692.944336	-54.653728
3703.710938	-47.970070
3714.477539	-43.387566
3725.244141	-49.624466
3736.010742	-54.798401
3746.777344	-54.934189
3757.543945	-55.079838
3768.310547	-55.072098
3779.077148	-55.069847
3789.843750	-55.221153
3800.610352	-55.384281
3811.376953	-55.261395
3822.143555	-55.079613
3832.910156	-54.125317
3843.676758	-51.130692
3854.443359	-52.710087
3865.209961	-55.166965
3875.976562	-55.332005
3886.743164	-55.441677
3897.509766	-55.543495
3908.276367	-55.523144
3919.042969	-55.385128
3929.809570	-55.283363
3940.576172	-55.415970
3951.342773	-55.459400
3962.109375	-54.863621
3972.875977	-55.012497
3983.642578	-55.401775
3994.409180	-55.473610
4005.175781	-55.590809
4015.942383	-55.668865
4026.708984	-55.720146
4037.475586	-55.598396
4048.242188	-55.625839
4059.008789	-55.755344
4069.775391	-55.825874
4080.541992	-55.845032
4091.308594	-55.693623
4102.075195	-55.698063
4112.841797	-55.692196
4123.608398	-55.764606
4134.375000	-55.783287
4145.141602	-55.730907
4155.908203	-55.788879
4166.674805	-55.662735
4177.441406	-55.823196
4188.208008	-55.759190
4198.974609	-55.659756
4209.741211	-55.876175
4220.507812	-55.963169
4231.274414	-55.799389
4242.041016	-55.821129
4252.807617	-55.725441
4263.574219	-55.756557
4274.340820	-55.852463
4285.107422	-55.779495
4295.874023	-55.909187
4306.640625	-55.926006
4317.407227	-55.999962
4328.173828	-56.075474
4338.940430	-56.072750
4349.707031	-56.007545
4360.473633	-56.010391
4371.240234	-56.100338
4382.006836	-56.221542
4392.773438	-56.191704
4403.540039	-56.197098
4414.306641	-56.143024
4425.073242	-56.050709
4435.839844	-56.128117
4446.606445	-56.090374
4457.373047	-56.074368
4468.139648	-55.918209
4478.906250	-55.976463
4489.672852	-56.063919
4500.439453	-56.057793
4511.206055	-56.212067
4521.972656	-56.265968
4532.739258	-56.234398
4543.505859	-56.114792
4554.272461	-56.153198
4565.039062	-56.252937
4575.805664	-56.227001
4586.572266	-56.300087
4597.338867	-56.362675
4608.105469	-56.455025
4618.872070	-56.540325
4629.638672	-56.345528
4640.405273	-56.303768
4651.171875	-56.384914
4661.938477	-56.402317
4672.705078	-56.450958
4683.471680	-56.441959
4694.238281	-56.368736
4705.004883	-56.264866
4715.771484	-56.360558
4726.538086	-56.412663
4737.304688	-56.405235
4748.071289	-56.425480
4758.837891	-56.391346
4769.604492	-56.412464
4780.371094	-56.549129
4791.137695	-56.503632
4801.904297	-56.649139
4812.670898	-56.609066
4823.437500	-56.556622
4834.204102	-56.608192
4844.970703	-56.727890
4855.737305	-56.584595
4866.503906	-56.590431
4877.270508	-56.452255
4888.037109	-56.549919
4898.803711	-56.620033
4909.570312	-56.650867
4920.336914	-56.569553
4931.103516	-56.623734
4941.870117	-56.695553
4952.636719	-56.708717
4963.403320	-56.601051
4974.169922	-56.791553
4984.936523	-56.829311
4995.703125	-56.759686
5006.469727	-56.848495
5017.236328	-56.785168
5028.002930	-56.782364
5038.769531	-56.790874
5049.536133	-56.876179
5060.302734	-57.000870
5071.069336	-56.811756
5081.835938	-56.723923
5092.602539	-56.634483
5103.369141	-56.707672
5114.135742	-56.747456
5124.902344	-56.794201
5135.668945	-56.705750
5146.435547	-56.698357
5157.202148	-56.876442
5167.968750	-57.017323
5178.735352	-56.973858
5189.501953	-56.942272
5200.268555	-56.915646
5211.035156	-57.019833
5221.801758	-56.788731
5232.568359	-56.829788
5243.334961	-56.858223
5254.101562	-57.036865
5264.868164	-57.064785
5275.634766	-56.909050
5286.401367	-56.889484
5297.167969	-56.902676
5307.934570	-56.923325
5318.701172	-56.964569
5329.467773	-57.155209
5340.234375	-57.201591
5351.000977	-57.140835
5361.767578	-57.016781
5372.534180	-56.921703
5383.300781	-57.013969
5394.067383	-57.040100
5404.833984	-57.022369
5415.600586	-57.175011
5426.367188	-57.174767
5437.133789	-57.115185
5447.900391	-57.196514
5458.666992	-57.106899
5469.433594	-57.091854
5480.200195	-57.065529
5490.966797	-56.993824
5501.733398	-57.170925
5512.500000	-57.182877
5523.266602	-57.307259
5534.033203	-57.402328
5544.799805	-57.491482
5555.566406	-57.546398
5566.333008	-57.473141
5577.099609	-57.450596
5587.866211	-57.450985
5598.632812	-57.328602
5609.399414	-57.249088
5620.166016	-57.261726
5630.932617	-57.202343
5641.699219	-57.274967
5652.465820	-57.231564
5663.232422	-57.255680
5673.999023	-57.385159
5684.765625	-57.403458
5695.532227	-57.422638
5706.298828	-57.370815
5717.065430	-57.388870
5727.832031	-57.434521
5738.598633	-57.405834
5749.365234	-57.366760
5760.131836	-57.368580
5770.898438	-57.468491
5781.665039	-57.383415
5792.431641	-57.427330
5803.198242	-57.403481
5813.964844	-57.499332
5824.731445	-57.476074
5835.498047	-57.385067
5846.264648	-57.449707
5857.031250	-57.621166
5867.797852	-57.666290
5878.564453	-57.568352
5889.331055	-57.693920
5900.097656	-57.736835
5910.864258	-57.661015
5921.630859	-57.548656
5932.397461	-57.587051
5943.164062	-57.640034
5953.930664	-57.619980
5964.697266	-57.702942
5975.463867	-57.595814
5986.230469	-57.673035
5996.997070	-57.711452
6007.763672	-57.666431
6018.530273	-57.618980
6029.296875	-57.623428
6040.063477	-57.736069
6050.830078	-57.589577
6061.596680	-57.549004
6072.363281	-57.665867
6083.129883	-57.572659
6093.896484	-57.507591
6104.663086	-57.659435
6115.429688	-57.706665
6126.196289	-57.656364
6136.962891	-57.718777
6147.729492	-57.653484
6158.496094	-57.835281
6169.262695	-57.844143
6180.029297	-57.851276
6190.795898	-57.901035
6201.562500	-57.974823
6212.329102	-57.891598
6223.095703	-57.792969
6233.862305	-57.821262
6244.628906	-57.801197
6255.395508	-57.708630
6266.162109	-57.868515
6276.928711	-57.962280
6287.695312	-57.871338
6298.461914	-57.824875
6309.228516	-57.950920
6319.995117	-57.935272
6330.761719	-57.918781
6341.528320	-57.832756
6352.294922	-57.891651
6363.061523	-57.897209
6373.828125	-57.799286
6384.594727	-57.823780
6395.361328	-57.979065
6406.127930	-58.003429
6416.894531	-58.140709
6427.661133	-58.176090
6438.427734	-58.009605
6449.194336	-58.019981
6459.960938	-57.989529
6470.727539	-58.001186
6481.494141	-57.993969
6492.260742	-58.067661
6503.027344	-58.122314
6513.793945	-58.009529
6524.560547	-58.075874
6535.327148	-58.145088
6546.093750	-58.118633
6556.860352	-58.070560
6567.626953	-58.256153
6578.393555	-58.202770
6589.160156	-58.125416
6599.926758	-58.163315
6610.693359	-58.080235
6621.459961	-58.120819
6632.226562	-58.106148
6642.993164	-58.079292
6653.759766	-58.118675
6664.526367	-58.165741
6675.292969	-58.021778
6686.059570	-57.902821
6696.826172	-58.002308
6707.592773	-58.131687
6718.359375	-58.164150
6729.125977	-58.157043
6739.892578	-58.209400
6750.659180	-58.254940
6761.425781	-58.180447
6772.192383	-58.243942
6782.958984	-58.273994
6793.725586	-58.296806
6804.492188	-58.287239
6815.258789	-58.105244
6826.025391	-58.242596
6836.791992	-58.509521
6847.558594	-58.393131
6858.325195	-58.427475
6869.091797	-58.434204
6879.858398	-58.227436
6890.625000	-58.220219
6901.391602	-58.192493
6912.158203	-58.340549
6922.924805	-58.391808
6933.691406	-58.414612
6944.458008	-58.449715
6955.224609	-58.534725
6965.991211	-58.362862
6976.757812	-58.436188
6987.524414	-58.457767
6998.291016	-58.454372
7009.057617	-58.308887
7019.824219	-58.438873
7030.590820	-58.550228
7041.357422	-58.443451
7052.124023	-58.456825
7062.890625	-58.379204
7073.657227	-58.304523
7084.423828	-58.455418
7095.190430	-58.469650
7105.957031	-58.482594
7116.723633	-58.594070
7127.490234	-58.569210
7138.256836	-58.608749
7149.023438	-58.556099
7159.790039	-58.509621
7170.556641	-58.565556
7181.323242	-58.720078
7192.089844	-58.653870
7202.856445	-58.457279
7213.623047	-58.552849
7224.389648	-58.505917
7235.156250	-58.670200
7245.922852	-58.637619
7256.689453	-58.566105
7267.456055	-58.559429
7278.222656	-58.623753
7288.989258	-58.520966
7299.755859	-58.529671
7310.522461	-58.648201
7321.289062	-58.558720
7332.055664	-58.576084
7342.822266	-58.410297
7353.588867	-58.461651
7364.355469	-58.650288
7375.122070	-58.573189
7385.888672	-58.600529
7396.655273	-58.610195
7407.421875	-58.609184
7418.188477	-58.699345
7428.955078	-58.690109
7439.721680	-58.754578
7450.488281	-58.732651
7461.254883	-58.668354
7472.021484	-58.531975
7482.788086	-58.708511
7493.554688	-58.655781
7504.321289	-58.736069
7515.087891	-58.848049
7525.854492	-58.866390
7536.621094	-58.859940
7547.387695	-58.881268
7558.154297	-58.748909
7568.920898	-58.782024
7579.687500	-58.746357
7590.454102	-58.669456
7601.220703	-58.690308
7611.987305	-58.723705
7622.753906	-58.692188
7633.520508	-58.834866
7644.287109	-58.791569
7655.053711	-58.755375
7665.820312	-58.837250
7676.586914	-58.890232
7687.353516	-58.860641
7698.120117	-58.902168
7708.886719	-58.876984
7719.653320	-58.751400
7730.419922	-58.756035
7741.186523	-58.884239
7751.953125	-58.898201
7762.719727	-58.870182
7773.486328	-58.833813
7784.252930	-58.904503
7795.019531	-58.929207
7805.786133	-58.956665
7816.552734	-58.875713
7827.319336	-58.737923
7838.085938	-58.743576
7848.852539	-58.848316
7859.619141	-59.035824
7870.385742	-58.957626
7881.152344	-58.905861
7891.918945	-58.924709
7902.685547	-58.881763
7913.452148	-58.890785
7924.218750	-58.816551
7934.985352	-58.761387
7945.751953	-58.906109
7956.518555	-59.022240
7967.285156	-59.056774
7978.051758	-59.070179
7988.818359	-59.134071
7999.584961	-59.085636
8010.351562	-59.041325
8021.118164	-59.214809
8031.884766	-59.335384
8042.651367	-59.249386
8053.417969	-59.102844
8064.184570	-59.057915
8074.951172	-59.132961
8085.717773	-59.140240
8096.484375	-59.030403
8107.250977	-59.094387
8118.017578	-59.202648
8128.784180	-59.292988
8139.550781	-59.302940
8150.317383	-59.001938
8161.083984	-58.883850
8171.850586	-58.916542
8182.617188	-59.079540
8193.383789	-59.152504
8204.150391	-59.252384
8214.916992	-59.197502
8225.683594	-59.221996
8236.450195	-59.234932
8247.216797	-59.199627
8257.983398	-59.140583
8268.750000	-59.210434
8279.516602	-59.228310
8290.283203	-59.178574
8301.049805	-59.161411
8311.816406	-59.216286
8322.583008	-59.190083
8333.349609	-59.243057
8344.116211	-59.343517
8354.882812	-59.356335
8365.649414	-59.144451
8376.416016	-59.215988
8387.182617	-59.179516
8397.949219	-59.153805
8408.715820	-59.156086
8419.482422	-59.249432
8430.249023	-59.245125
8441.015625	-59.310524
8451.782227	-59.297386
8462.548828	-59.246822
8473.315430	-59.252590
8484.082031	-59.265026
8494.848633	-59.440250
8505.615234	-59.366062
8516.381836	-59.378807
8527.148438	-59.306053
8537.915039	-59.293915
8548.681641	-59.372494
8559.448242	-59.342819
8570.214844	-59.168678
8580.981445	-59.178787
8591.748047	-59.134155
8602.514648	-59.226067
8613.281250	-59.288910
8624.047852	-59.346794
8634.814453	-59.415386
8645.581055	-59.165333
8656.347656	-59.341228
8667.114258	-59.455044
8677.880859	-59.451763
8688.647461	-59.579952
8699.414062	-59.623417
8710.180664	-59.495007
8720.947266	-59.475052
8731.713867	-59.553707
8742.480469	-59.492443
8753.247070	-59.456001
8764.013672	-59.449970
8774.780273	-59.433758
8785.546875	-59.530930
8796.313477	-59.596611
8807.080078	-59.513336
8817.846680	-59.572998
8828.613281	-59.552483
8839.379883	-59.383350
8850.146484	-59.406040
8860.913086	-59.482670
8871.679688	-59.484959
8882.446289	-59.640163
8893.212891	-59.770130
8903.979492	-59.767216
8914.746094	-59.668488
8925.512695	-59.559841
8936.279297	-59.515720
8947.045898	-59.480705
8957.812500	-59.480335
8968.579102	-59.548508
8979.345703	-59.496529
8990.112305	-59.559319
9000.878906	-59.624313
9011.645508	-59.517933
9022.412109	-59.531574
9033.178711	-59.719681
9043.945312	-59.640472
9054.711914	-59.637161
9065.478516	-59.538879
9076.245117	-59.478153
9087.011719	-59.632519
9097.778320	-59.555557
9108.544922	-59.483471
9119.311523	-59.597828
9130.078125	-59.803982
9140.844727	-59.822613
9151.611328	-59.722561
9162.377930	-59.721970
9173.144531	-59.708965
9183.911133	-59.610668
9194.677734	-59.635242
9205.444336	-59.710064
9216.210938	-59.774891
9226.977539	-59.791096
9237.744141	-59.851639
9248.510742	-59.830555
9259.277344	-59.795727
9270.043945	-59.665257
9280.810547	-59.562973
9291.577148	-59.697777
9302.343750	-59.672634
9313.110352	-59.743633
9323.876953	-59.688484
9334.643555	-59.740761
9345.410156	-59.730984
9356.176758	-59.708092
9366.943359	-59.836189
9377.709961	-59.858013
9388.476562	-59.802334
9399.243164	-59.890072
9410.009766	-59.907753
9420.776367	-59.935665
9431.542969	-59.841133
9442.309570	-59.718449
9453.076172	-59.748535
9463.842773	-59.852276
9474.609375	-59.824986
9485.375977	-59.730076
9496.142578	-59.789558
9506.909180	-59.866505
9517.675781	-59.874237
9528.442383	-59.849400
9539.208984	-59.908440
9549.975586	-59.961323
9560.742188	-59.929253
9571.508789	-59.911472
9582.275391	-59.942673
9593.041992	-59.821411
9603.808594	-59.812714
9614.575195	-59.855968
9625.341797	-59.920185
9636.108398	-60.028191
9646.875000	-59.916325
9657.641602	-59.859547
9668.408203	-59.976627
9679.174805	-59.901627
9689.941406	-59.810806
9700.708008	-59.977753
9711.474609	-59.973362
9722.241211	-59.870186
9733.007812	-59.908699
9743.774414	-59.932095
9754.541016	-60.009033
9765.307617	-59.944149
9776.074219	-59.910450
9786.840820	-59.946739
9797.607422	-59.919300
9808.374023	-60.024868
9819.140625	-59.988003
9829.907227	-60.084446
9840.673828	-60.078915
9851.440430	-59.956066
9862.207031	-60.012325
9872.973633	-59.997131
9883.740234	-59.976219
9894.506836	-60.159355
9905.273438	-60.060631
9916.040039	-60.025406
9926.806641	-60.053936
9937.573242	-60.075363
9948.339844	-60.053871
9959.106445	-60.116997
9969.873047	-60.101887
9980.639648	-60.117649
9991.406250	-60.088886
10002.172852	-60.062595
10012.939453	-60.129440
10023.706055	-60.123379
10034.472656	-60.017262
10045.239258	-60.103794
10056.005859	-60.064583
10066.772461	-59.897526
10077.539062	-60.032528
10088.305664	-60.117401
10099.072266	-60.143425
10109.838867	-60.022270
10120.605469	-59.978580
10131.372070	-60.011082
10142.138672	-60.060066
10152.905273	-60.111233
10163.671875	-60.169643
10174.438477	-60.154060
10185.205078	-60.081501
10195.971680	-60.174942
10206.738281	-60.201187
10217.504883	-60.139065
10228.271484	-60.137112
10239.038086	-60.308010
10249.804688	-60.259583
10260.571289	-60.112160
10271.337891	-60.017155
10282.104492	-60.157833
10292.871094	-60.230495
10303.637695	-60.237560
10314.404297	-60.236965
10325.170898	-60.057457
10335.937500	-60.098454
10346.704102	-60.287563
10357.470703	-60.251167
10368.237305	-60.198696
10379.003906	-60.335972
10389.770508	-60.177429
10400.537109	-60.130417
10411.303711	-60.234077
10422.070312	-60.187031
10432.836914	-60.073280
10443.603516	-60.147186
10454.370117	-60.246685
10465.136719	-60.342594
10475.903320	-60.318157
10486.669922	-60.245163
10497.436523	-60.223148
10508.203125	-60.304493
10518.969727	-60.355350
10529.736328	-60.417549
10540.502930	-60.370090
10551.269531	-60.393906
10562.036133	-60.409515
10572.802734	-60.206482
10583.569336	-60.166252
10594.335938	-60.276665
10605.102539	-60.348434
10615.869141	-60.356361
10626.635742	-60.389660
10637.402344	-60.210453
10648.168945	-60.262421
10658.935547	-60.338097
10669.702148	-60.286015
10680.468750	-60.298546
10691.235352	-60.371693
10702.001953	-60.389469
10712.768555	-60.443222
10723.535156	-60.404285
10734.301758	-60.357162
10745.068359	-60.574631
10755.834961	-60.463264
10766.601562	-60.394360
10777.368164	-60.439449
10788.134766	-60.454784
10798.901367	-60.406242
10809.667969	-60.399567
10820.434570	-60.480534
10831.201172	-60.585556
10841.967773	-60.490108
10852.734375	-60.374645
10863.500977	-60.365578
10874.267578	-60.372311
10885.034180	-60.468212
10895.800781	-60.501106
10906.567383	-60.357048
10917.333984	-60.489990
10928.100586	-60.556934
10938.867188	-60.411613
10949.633789	-60.533295
10960.400391	-60.459816
10971.166992	-60.518787
10981.933594	-60.429043
10992.700195	-60.524578
11003.466797	-60.480492
11014.233398	-60.507088
11025.000000	-60.610245
11035.766602	-60.488850
11046.533203	-60.571579
11057.299805	-60.499340
11068.066406	-60.410042
11078.833008	-60.550274
11089.599609	-60.603752
11100.366211	-60.534889
11111.132812	-60.524300
11121.899414	-60.585598
11132.666016	-60.468826
11143.432617	-60.541656
11154.199219	-60.640297
11164.965820	-60.591667
11175.732422	-60.575199
11186.499023	-60.671795
11197.265625	-60.620541
11208.032227	-60.494453
11218.798828	-60.577755
