Frequency (Hz)	Level (dB)
2939.282227	-51.520695
2950.048828	-51.119740
2960.815430	-49.503845
2971.582031	-47.033092
2982.348633	-42.181889
2993.115234	-43.805584
3003.881836	-42.927696
3014.648438	-46.344994
3025.415039	-47.948139
3036.181641	-50.856232
3046.948242	-39.222191
3057.714844	-35.393734
3068.481445	-38.317883
3079.248047	-39.636864
3090.014648	-48.372421
3100.781250	-50.179230
3111.547852	-48.074375
3122.314453	-44.719242
3133.081055	-43.444519
3143.847656	-40.465885
3154.614258	-41.904827
3165.380859	-41.041870
3176.147461	-44.339653
3186.914062	-44.772717
3197.680664	-43.069889
3208.447266	-44.842331
3219.213867	-47.004562
3229.980469	-50.930920
3240.747070	-52.842480
3251.513672	-50.535038
3262.280273	-50.313129
3273.046875	-47.666512
3283.813477	-47.820412
3294.580078	-46.393444
3305.346680	-49.064632
3316.113281	-49.015095
3326.879883	-46.852726
3337.646484	-48.040707
3348.413086	-46.791809
3359.179688	-45.070042
3369.946289	-44.569706
3380.712891	-44.945503
3391.479492	-46.148689
3402.246094	-45.310688
3413.012695	-49.137463
3423.779297	-50.212738
3434.545898	-51.045666
3445.312500	-46.391869
3456.079102	-41.592270
3466.845703	-39.376793
3477.612305	-37.689957
3488.378906	-35.481865
3499.145508	-36.648579
3509.912109	-36.487984
3520.678711	-41.289787
3531.445312	-45.242561
3542.211914	-50.580849
3552.978516	-51.391754
3563.745117	-48.896576
3574.511719	-47.337738
3585.278320	-44.813217
3596.044922	-45.625683
3606.811523	-46.045605
3617.578125	-49.326992
3628.344727	-46.199081
3639.111328	-42.575199
3649.877930	-47.430698
3660.644531	-49.786274
3671.411133	-49.670326
3682.177734	-48.355251
3692.944336	-44.815586
3703.710938	-44.515186
3714.477539	-43.822212
3725.244141	-45.103146
3736.010742	-46.859119
3746.777344	-47.427181
3757.543945	-50.861359
3768.310547	-52.335999
3779.077148	-52.246922
3789.843750	-50.847782
3800.610352	-46.960323
3811.376953	-48.523674
3822.143555	-47.880180
3832.910156	-49.730045
3843.676758	-50.461338
3854.443359	-51.241741
3865.209961	-51.713955
3875.976562	-50.743011
3886.743164	-52.857121
3897.509766	-51.932682
3908.276367	-51.363037
3919.042969	-53.291187
3929.809570	-53.833683
3940.576172	-53.602364
3951.342773	-54.439220
3962.109375	-54.629765
3972.875977	-54.428879
3983.642578	-54.800316
3994.409180	-54.740810
4005.175781	-55.059921
4015.942383	-55.164925
4026.708984	-55.497047
4037.475586	-55.446201
4048.242188	-55.445175
4059.008789	-55.567173
4069.775391	-55.511372
4080.541992	-55.392155
4091.308594	-55.479267
4102.075195	-55.444462
4112.841797	-55.490505
4123.608398	-55.606384
4134.375000	-55.541531
4145.141602	-55.659328
4155.908203	-55.774624
4166.674805	-55.711803
4177.441406	-55.632359
4188.208008	-55.609863
4198.974609	-55.529079
4209.741211	-55.752480
4220.507812	-55.871117
4231.274414	-55.690723
4242.041016	-55.715073
4252.807617	-55.855824
4263.574219	-55.747036
4274.340820	-55.812649
4285.107422	-55.812649
4295.874023	-55.732635
4306.640625	-55.821487
4317.407227	-55.762001
4328.173828	-55.795643
4338.940430	-55.921158
4349.707031	-55.820999
4360.473633	-55.829147
4371.240234	-55.848591
4382.006836	-55.913685
4392.773438	-56.141350
4403.540039	-56.037457
4414.306641	-55.776611
4425.073242	-55.904453
4435.839844	-56.055317
4446.606445	-56.059692
4457.373047	-56.095871
4468.139648	-56.050053
4478.906250	-56.046215
4489.672852	-56.081898
4500.439453	-55.995403
4511.206055	-56.225559
4521.972656	-56.171726
4532.739258	-55.954659
4543.505859	-55.957920
4554.272461	-56.009800
4565.039062	-55.999443
4575.805664	-56.103039
4586.572266	-56.011147
4597.338867	-56.169079
4608.105469	-56.206844
4618.872070	-56.167603
4629.638672	-56.270992
4640.405273	-56.394985
4651.171875	-56.491062
4661.938477	-56.449547
4672.705078	-56.338058
4683.471680	-56.333042
4694.238281	-56.215698
4705.004883	-56.206532
4715.771484	-56.053032
4726.538086	-56.114182
4737.304688	-56.246574
4748.071289	-56.334103
4758.837891	-56.293259
4769.604492	-56.411083
4780.371094	-56.475536
4791.137695	-56.297241
4801.904297	-56.235321
4812.670898	-56.421482
4823.437500	-56.435162
4834.204102	-56.392349
4844.970703	-56.346729
4855.737305	-56.317505
4866.503906	-56.456856
4877.270508	-56.569260
4888.037109	-56.449017
4898.803711	-56.506863
4909.570312	-56.547951
4920.336914	-56.531815
4931.103516	-56.591011
4941.870117	-56.426960
4952.636719	-56.585571
4963.403320	-56.730152
4974.169922	-56.484291
4984.936523	-56.388367
4995.703125	-56.496048
5006.469727	-56.700405
5017.236328	-56.767830
5028.002930	-56.644733
5038.769531	-56.591522
5049.536133	-56.591972
5060.302734	-56.636303
5071.069336	-56.622379
5081.835938	-56.630184
5092.602539	-56.628342
5103.369141	-56.666084
5114.135742	-56.723049
5124.902344	-56.843311
5135.668945	-56.811260
5146.435547	-56.861870
5157.202148	-56.963478
5167.968750	-56.741837
5178.735352	-56.706661
5189.501953	-56.909611
5200.268555	-56.891426
5211.035156	-56.909618
5221.801758	-56.885635
5232.568359	-56.902954
5243.334961	-56.808559
5254.101562	-56.712101
5264.868164	-56.747551
5275.634766	-56.815544
5286.401367	-56.885738
5297.167969	-56.955193
5307.934570	-56.917313
5318.701172	-56.908096
5329.467773	-56.952446
5340.234375	-57.035751
5351.000977	-57.100769
5361.767578	-57.032291
5372.534180	-56.958420
5383.300781	-56.961239
5394.067383	-56.910965
5404.833984	-57.035820
5415.600586	-56.993622
5426.367188	-56.965992
5437.133789	-56.842800
5447.900391	-56.922417
5458.666992	-56.911320
5469.433594	-57.083042
5480.200195	-56.979504
5490.966797	-56.976364
5501.733398	-57.108280
5512.500000	-57.131603
5523.266602	-57.062912
5534.033203	-56.992725
5544.799805	-57.119011
5555.566406	-57.208099
5566.333008	-57.309883
5577.099609	-57.202320
5587.866211	-57.160927
5598.632812	-57.024498
5609.399414	-56.944450
5620.166016	-57.097954
5630.932617	-57.061169
5641.699219	-57.212639
5652.465820	-57.239223
5663.232422	-57.263870
5673.999023	-57.259426
5684.765625	-57.051781
5695.532227	-57.112335
5706.298828	-57.245308
5717.065430	-57.236492
5727.832031	-57.205486
5738.598633	-57.295536
5749.365234	-57.353298
5760.131836	-57.353123
5770.898438	-57.327957
5781.665039	-57.296215
5792.431641	-57.280624
5803.198242	-57.359627
5813.964844	-57.387020
5824.731445	-57.337086
5835.498047	-57.269737
5846.264648	-57.412716
5857.031250	-57.563663
5867.797852	-57.498688
5878.564453	-57.548382
5889.331055	-57.490845
5900.097656	-57.439220
5910.864258	-57.537155
5921.630859	-57.451618
5932.397461	-57.357681
5943.164062	-57.357178
