Frequency (Hz)	Level (dB)
10.766602	-24.087479
21.533203	-28.746849
32.299805	-31.195961
43.066406	-32.861881
53.833008	-33.933746
64.599609	-34.866871
75.366211	-35.707062
86.132812	-36.213615
96.899414	-36.927635
107.666016	-37.464367
118.432617	-37.717445
129.199219	-38.309177
139.965820	-38.796494
150.732422	-38.956692
161.499023	-39.314640
172.265625	-39.620995
183.032227	-39.756832
193.798828	-40.163151
204.565430	-40.362545
215.332031	-40.667862
226.098633	-40.911163
236.865234	-40.957794
247.631836	-41.259148
258.398438	-41.502426
269.165039	-41.821327
279.931641	-42.111435
290.698242	-42.315739
301.464844	-42.319328
312.231445	-42.525169
322.998047	-42.736900
333.764648	-42.982018
344.531250	-43.089718
355.297852	-43.116348
366.064453	-43.084255
376.831055	-43.397865
387.597656	-43.606842
398.364258	-43.822029
409.130859	-43.891396
419.897461	-44.017536
430.664062	-44.136509
441.430664	-44.222385
452.197266	-44.439285
462.963867	-44.526360
473.730469	-44.526817
484.497070	-44.791119
495.263672	-44.925728
506.030273	-44.909916
516.796875	-45.023964
527.563477	-45.138966
538.330078	-45.023788
549.096680	-45.192596
559.863281	-45.509605
570.629883	-45.659081
581.396484	-45.594021
592.163086	-45.610367
602.929688	-45.686882
613.696289	-45.829391
624.462891	-46.007923
635.229492	-46.341728
645.996094	-46.226196
656.762695	-46.223251
667.529297	-46.464485
678.295898	-46.465023
689.062500	-46.538452
699.829102	-46.559956
710.595703	-46.501671
721.362305	-46.513958
732.128906	-46.547207
742.895508	-46.201706
753.662109	-46.489140
764.428711	-45.676266
775.195312	-45.104107
785.961914	-46.462051
796.728516	-47.402824
807.495117	-47.295933
818.261719	-47.394238
829.028320	-47.537460
839.794922	-47.324589
850.561523	-47.373528
861.328125	-47.304527
872.094727	-46.972050
882.861328	-47.443573
893.627930	-47.794247
904.394531	-47.799572
915.161133	-47.783775
925.927734	-47.743042
936.694336	-46.992371
947.460938	-46.881073
958.227539	-47.864239
968.994141	-48.015022
979.760742	-47.884380
990.527344	-47.993549
1001.293945	-42.838531
1012.060547	-38.313606
1022.827148	-38.191101
1033.593750	-41.257404
1044.360352	-47.384430
1055.126953	-48.553425
1065.893555	-48.731499
1076.660156	-48.706402
1087.426758	-47.251446
1098.193359	-45.285007
1108.959961	-47.166008
1119.726562	-48.319180
1130.493164	-48.923740
1141.259766	-49.228947
1152.026367	-49.189182
1162.792969	-49.246876
1173.559570	-49.193184
1184.326172	-48.735081
1195.092773	-47.385941
1205.859375	-47.706982
1216.625977	-48.920979
1227.392578	-47.807411
1238.159180	-48.111500
1248.925781	-48.668747
1259.692383	-48.669159
1270.458984	-49.073860
1281.225586	-48.633640
1291.992188	-48.855816
1302.758789	-49.637356
1313.525391	-49.712215
1324.291992	-49.645477
1335.058594	-49.459377
1345.825195	-49.673286
1356.591797	-49.530537
1367.358398	-49.773182
1378.125000	-49.993397
1388.891602	-49.598152
1399.658203	-49.546783
1410.424805	-49.245388
1421.191406	-48.790180
1431.958008	-49.429363
1442.724609	-49.569012
1453.491211	-50.027821
1464.257812	-50.495846
1475.024414	-50.310631
1485.791016	-50.542004
1496.557617	-50.520546
1507.324219	-50.505562
1518.090820	-50.585602
1528.857422	-50.392673
1539.624023	-50.624397
1550.390625	-50.486786
1561.157227	-50.204849
1571.923828	-50.399948
1582.690430	-50.226059
1593.457031	-49.618458
1604.223633	-49.463120
1614.990234	-49.801277
1625.756836	-50.819145
1636.523438	-51.137791
1647.290039	-50.713043
1658.056641	-50.551933
1668.823242	-50.274837
1679.589844	-47.981808
1690.356445	-46.100945
1701.123047	-44.152866
1711.889648	-44.050480
1722.656250	-45.176842
1733.422852	-48.348255
1744.189453	-47.795185
1754.956055	-46.003517
1765.722656	-45.435398
1776.489258	-45.590481
1787.255859	-46.326664
1798.022461	-45.363716
1808.789062	-45.652737
1819.555664	-48.893444
1830.322266	-49.173874
1841.088867	-49.163528
1851.855469	-47.771305
1862.622070	-44.916904
1873.388672	-43.062057
1884.155273	-39.853264
1894.921875	-37.480278
1905.688477	-37.844147
1916.455078	-38.703804
1927.221680	-40.338009
1937.988281	-43.958542
1948.754883	-47.039867
1959.521484	-50.211075
1970.288086	-50.075806
1981.054688	-47.469872
1991.821289	-47.219074
2002.587891	-49.724667
2013.354492	-48.691776
2024.121094	-46.177578
2034.887695	-43.497509
2045.654297	-41.074097
2056.420898	-41.546574
2067.187500	-45.579758
2077.954102	-46.732159
2088.720703	-45.956886
2099.487305	-46.720036
2110.253906	-47.350563
2121.020508	-48.928699
2131.787109	-50.032299
2142.553711	-49.105492
2153.320312	-47.689030
2164.086914	-49.944675
2174.853516	-51.370975
2185.620117	-49.620270
2196.386719	-47.178646
2207.153320	-45.435009
2217.919922	-44.827698
2228.686523	-46.431232
2239.453125	-48.665203
2250.219727	-50.545395
2260.986328	-50.200592
2271.752930	-50.556629
2282.519531	-49.930576
2293.286133	-49.634521
2304.052734	-49.711155
2314.819336	-47.841991
2325.585938	-47.623375
2336.352539	-48.043465
2347.119141	-47.414711
2357.885742	-47.047905
2368.652344	-46.420597
2379.418945	-47.635998
2390.185547	-47.278187
2400.952148	-44.415508
2411.718750	-42.218315
2422.485352	-41.901569
2433.251953	-43.817024
2444.018555	-47.100922
2454.785156	-50.138565
2465.551758	-50.630188
2476.318359	-50.463264
2487.084961	-50.527203
2497.851562	-49.594151
2508.618164	-49.781231
2519.384766	-50.549221
2530.151367	-49.963665
2540.917969	-49.600262
2551.684570	-50.245625
2562.451172	-51.413521
2573.217773	-52.443233
2583.984375	-53.049767
2594.750977	-53.329597
2605.517578	-53.038197
2616.284180	-52.722683
2627.050781	-52.612453
2637.817383	-52.709564
2648.583984	-53.262184
2659.350586	-52.950092
2670.117188	-51.257660
2680.883789	-50.415291
2691.650391	-50.858864
2702.416992	-51.990303
2713.183594	-51.913963
2723.950195	-51.638958
2734.716797	-50.694969
2745.483398	-49.627083
2756.250000	-48.746300
2767.016602	-49.249077
2777.783203	-51.876549
2788.549805	-52.829769
2799.316406	-50.698029
2810.083008	-48.862213
2820.849609	-49.840546
2831.616211	-49.219017
2842.382812	-50.636276
2853.149414	-51.146019
2863.916016	-49.890831
2874.682617	-50.568817
2885.449219	-49.761265
2896.215820	-48.850681
2906.982422	-50.296185
2917.749023	-50.854759
2928.515625	-50.777927
2939.282227	-51.539135
2950.048828	-49.861710
2960.815430	-49.646660
2971.582031	-47.409878
2982.348633	-47.030266
2993.115234	-46.720684
3003.881836	-45.635391
3014.648438	-46.285999
3025.415039	-48.791660
3036.181641	-47.562569
3046.948242	-46.674152
3057.714844	-49.718582
3068.481445	-50.985970
3079.248047	-49.228958
3090.014648	-50.437824
3100.781250	-51.959068
3111.547852	-49.730099
3122.314453	-49.279583
3133.081055	-49.277893
3143.847656	-47.059757
3154.614258	-45.558437
3165.380859	-45.157063
3176.147461	-46.481251
3186.914062	-49.187489
3197.680664	-48.971752
3208.447266	-48.981586
3219.213867	-51.847919
3229.980469	-53.996853
3240.747070	-53.279461
3251.513672	-53.417511
3262.280273	-52.590256
3273.046875	-51.072449
3283.813477	-49.432190
3294.580078	-51.062885
3305.346680	-51.248917
3316.113281	-47.259247
3326.879883	-47.369583
3337.646484	-49.795822
3348.413086	-49.653816
3359.179688	-50.169025
3369.946289	-48.539162
3380.712891	-47.655891
3391.479492	-45.444775
3402.246094	-45.875031
3413.012695	-47.234097
3423.779297	-48.132828
3434.545898	-49.905006
3445.312500	-49.520630
3456.079102	-44.859421
3466.845703	-42.579323
3477.612305	-40.900917
3488.378906	-40.537006
3499.145508	-41.408142
3509.912109	-41.809929
3520.678711	-44.902397
3531.445312	-48.464764
3542.211914	-51.137150
3552.978516	-50.555668
3563.745117	-51.259930
3574.511719	-51.982792
3585.278320	-52.041542
3596.044922	-52.286900
3606.811523	-51.069412
3617.578125	-49.865128
3628.344727	-49.907520
3639.111328	-50.998257
3649.877930	-51.011600
3660.644531	-50.119324
3671.411133	-52.452259
3682.177734	-51.098957
3692.944336	-47.868614
3703.710938	-46.814423
3714.477539	-47.223522
3725.244141	-47.918400
3736.010742	-49.580944
3746.777344	-51.331951
3757.543945	-53.289227
3768.310547	-54.524918
3779.077148	-54.843563
3789.843750	-55.111832
3800.610352	-54.400089
3811.376953	-52.941559
3822.143555	-51.635586
3832.910156	-52.117500
3843.676758	-53.187492
3854.443359	-53.844227
3865.209961	-54.493660
3875.976562	-53.946899
3886.743164	-53.933411
3897.509766	-53.366657
3908.276367	-53.136311
3919.042969	-54.367870
3929.809570	-54.941181
3940.576172	-55.399773
3951.342773	-55.790718
3962.109375	-55.668709
3972.875977	-55.672379
3983.642578	-55.652809
3994.409180	-56.013660
4005.175781	-56.238846
4015.942383	-56.243584
4026.708984	-56.125771
4037.475586	-56.069035
4048.242188	-56.101959
4059.008789	-56.105747
4069.775391	-56.115955
4080.541992	-56.173557
4091.308594	-56.269943
4102.075195	-56.269157
4112.841797	-56.171040
4123.608398	-56.197113
4134.375000	-56.271294
4145.141602	-56.192188
4155.908203	-56.183704
4166.674805	-56.294296
4177.441406	-56.160339
4188.208008	-56.236031
4198.974609	-56.340324
4209.741211	-56.344570
4220.507812	-56.440807
4231.274414	-56.439240
4242.041016	-56.349941
4252.807617	-56.482880
4263.574219	-56.642506
4274.340820	-56.510315
4285.107422	-56.431149
4295.874023	-56.449348
4306.640625	-56.440086
4317.407227	-56.496349
4328.173828	-56.434734
4338.940430	-56.388710
4349.707031	-56.558147
4360.473633	-56.623005
4371.240234	-56.614353
4382.006836	-56.466099
4392.773438	-56.593418
4403.540039	-56.588295
4414.306641	-56.619827
4425.073242	-56.576656
4435.839844	-56.573608
4446.606445	-56.628082
4457.373047	-56.678429
4468.139648	-56.622547
4478.906250	-56.829292
4489.672852	-56.638329
4500.439453	-56.561989
4511.206055	-56.644833
4521.972656	-56.731129
4532.739258	-56.751087
4543.505859	-56.722240
4554.272461	-56.701897
4565.039062	-56.738354
4575.805664	-56.829796
4586.572266	-56.836906
4597.338867	-56.781178
4608.105469	-56.763481
4618.872070	-56.831169
4629.638672	-56.901112
4640.405273	-56.795254
4651.171875	-56.815086
4661.938477	-56.757896
4672.705078	-56.771847
4683.471680	-56.810574
4694.238281	-56.962784
4705.004883	-56.964638
4715.771484	-56.960396
4726.538086	-56.894371
4737.304688	-57.025970
4748.071289	-57.055809
4758.837891	-56.987289
4769.604492	-57.021702
4780.371094	-57.072685
4791.137695	-57.137993
4801.904297	-57.091469
4812.670898	-57.012402
4823.437500	-57.141243
4834.204102	-57.114239
4844.970703	-57.047092
4855.737305	-57.090839
4866.503906	-57.085342
4877.270508	-57.090340
4888.037109	-57.067581
4898.803711	-57.216339
4909.570312	-57.168343
4920.336914	-57.139694
4931.103516	-57.156628
4941.870117	-57.132797
4952.636719	-57.284218
4963.403320	-57.193222
4974.169922	-57.138855
4984.936523	-57.234428
4995.703125	-57.233139
5006.469727	-57.197098
5017.236328	-57.211300
5028.002930	-57.347134
5038.769531	-57.162533
5049.536133	-57.141441
5060.302734	-57.087452
5071.069336	-57.268414
5081.835938	-57.304943
5092.602539	-57.337521
5103.369141	-57.226460
5114.135742	-57.309242
5124.902344	-57.200588
5135.668945	-57.248135
5146.435547	-57.319038
5157.202148	-57.282104
5167.968750	-57.381554
5178.735352	-57.409821
5189.501953	-57.491016
5200.268555	-57.478336
5211.035156	-57.307373
5221.801758	-57.321636
5232.568359	-57.402233
5243.334961	-57.403477
5254.101562	-57.525917
5264.868164	-57.518795
5275.634766	-57.490322
5286.401367	-57.526749
5297.167969	-57.537060
5307.934570	-57.450405
5318.701172	-57.480236
5329.467773	-57.627903
5340.234375	-57.594177
5351.000977	-57.571682
5361.767578	-57.678402
5372.534180	-57.631950
5383.300781	-57.553402
5394.067383	-57.679268
5404.833984	-57.699875
5415.600586	-57.598740
5426.367188	-57.564194
5437.133789	-57.621395
5447.900391	-57.604397
5458.666992	-57.532509
5469.433594	-57.590092
5480.200195	-57.788223
5490.966797	-57.773983
5501.733398	-57.750050
5512.500000	-57.877338
5523.266602	-57.657234
5534.033203	-57.700768
5544.799805	-57.677517
5555.566406	-57.740898
5566.333008	-57.807610
5577.099609	-57.719528
5587.866211	-57.856750
5598.632812	-57.847679
5609.399414	-57.787609
5620.166016	-57.750519
5630.932617	-57.848240
5641.699219	-57.842613
5652.465820	-57.795223
5663.232422	-57.948967
5673.999023	-57.861782
5684.765625	-57.815140
5695.532227	-57.911205
5706.298828	-57.924644
5717.065430	-57.998276
5727.832031	-57.954662
5738.598633	-58.072155
5749.365234	-57.927132
5760.131836	-57.832119
5770.898438	-57.881557
5781.665039	-58.003693
5792.431641	-57.977444
5803.198242	-57.962822
5813.964844	-57.952667
5824.731445	-57.989193
5835.498047	-57.896042
5846.264648	-57.993008
5857.031250	-58.130985
5867.797852	-58.015533
5878.564453	-58.102451
5889.331055	-57.953514
5900.097656	-57.986141
5910.864258	-58.094288
5921.630859	-58.040867
5932.397461	-57.995338
5943.164062	-57.990139
5953.930664	-57.965775
5964.697266	-57.827869
5975.463867	-58.007549
5986.230469	-58.110432
5996.997070	-58.147217
6007.763672	-58.008755
6018.530273	-58.073689
6029.296875	-58.117241
6040.063477	-58.123386
6050.830078	-58.129997
6061.596680	-58.203091
6072.363281	-58.168228
6083.129883	-58.171967
6093.896484	-58.147202
6104.663086	-58.263729
6115.429688	-58.256920
6126.196289	-58.188683
6136.962891	-58.183052
6147.729492	-58.323654
6158.496094	-58.326817
6169.262695	-58.348804
6180.029297	-58.306095
6190.795898	-58.400112
6201.562500	-58.288986
6212.329102	-58.350094
6223.095703	-58.305527
6233.862305	-58.394543
6244.628906	-58.391052
6255.395508	-58.407822
6266.162109	-58.350498
6276.928711	-58.413254
6287.695312	-58.325077
6298.461914	-58.435600
6309.228516	-58.466137
6319.995117	-58.546364
6330.761719	-58.449001
6341.528320	-58.328556
6352.294922	-58.356384
6363.061523	-58.457108
6373.828125	-58.571964
6384.594727	-58.639297
6395.361328	-58.520809
6406.127930	-58.504234
6416.894531	-58.476162
6427.661133	-58.487225
6438.427734	-58.568336
6449.194336	-58.414112
6459.960938	-58.329483
6470.727539	-58.459896
6481.494141	-58.534859
6492.260742	-58.595005
6503.027344	-58.610970
6513.793945	-58.493408
6524.560547	-58.472050
6535.327148	-58.470261
6546.093750	-58.531818
6556.860352	-58.775196
6567.626953	-58.780727
6578.393555	-58.634418
6589.160156	-58.627609
6599.926758	-58.679802
6610.693359	-58.694435
6621.459961	-58.584766
