101.6178 	EXP 	Sound  stopped
101.6184 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_80dBFS.wav
101.6184 	EXP 	Sound  started
103.6037 	EXP 	Sound  stopped
103.6042 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_70dBFS.wav
103.6042 	EXP 	Sound  started
105.5895 	EXP 	Sound  stopped
105.5901 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_60dBFS.wav
105.5902 	EXP 	Sound  started
107.5754 	EXP 	Sound  stopped
107.5760 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_50dBFS.wav
107.5760 	EXP 	Sound  started
109.4923 	DATA 	Keypress: 7
109.5613 	EXP 	Sound  stopped
109.5618 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_90dBFS.wav
109.5619 	EXP 	Sound  started
111.5471 	EXP 	Sound  stopped
111.5477 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_80dBFS.wav
111.5477 	EXP 	Sound  started
113.5329 	EXP 	Sound  stopped
113.5335 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_70dBFS.wav
113.5335 	EXP 	Sound  started
115.5187 	EXP 	Sound  stopped
115.5193 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_60dBFS.wav
115.5193 	EXP 	Sound  started
117.5045 	EXP 	Sound  stopped
117.5051 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_50dBFS.wav
117.5051 	EXP 	Sound  started
119.4903 	EXP 	Sound  stopped
119.4909 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_40dBFS.wav
119.4909 	EXP 	Sound  started
121.2762 	DATA 	Keypress: 7
121.4762 	EXP 	Sound  stopped
123.4784 	EXP 	window1: blendMode = 'avg'
123.5291 	EXP 	window1: blendMode = 'avg'
123.5549 	EXP 	unnamed TextStim: text = 'Druecke, wenn du einen Ton hoerst.'
127.5736 	EXP 	window1: blendMode = 'avg'
127.6075 	EXP 	unnamed TextStim: text = 'Jetzt geht es los!'
129.6129 	EXP 	window1: blendMode = 'avg'
129.6422 	EXP 	unnamed TextStim: text = '+'
129.6428 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_90dBFS.wav
129.6428 	EXP 	Sound  started
131.6281 	EXP 	Sound  stopped
131.6286 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_80dBFS.wav
131.6287 	EXP 	Sound  started
133.6139 	EXP 	Sound  stopped
133.6144 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_70dBFS.wav
133.6145 	EXP 	Sound  started
135.5997 	EXP 	Sound  stopped
135.6002 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_60dBFS.wav
135.6003 	EXP 	Sound  started
137.5855 	EXP 	Sound  stopped
137.5860 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_50dBFS.wav
137.5861 	EXP 	Sound  started
139.5283 	DATA 	Keypress: 7
139.5713 	EXP 	Sound  stopped
139.5719 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_90dBFS.wav
139.5719 	EXP 	Sound  started
141.5566 	EXP 	Sound  stopped
141.5571 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_80dBFS.wav
141.5571 	EXP 	Sound  started
143.5424 	EXP 	Sound  stopped
143.5429 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_70dBFS.wav
143.5429 	EXP 	Sound  started
145.5282 	EXP 	Sound  stopped
145.5288 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_60dBFS.wav
145.5288 	EXP 	Sound  started
147.5141 	EXP 	Sound  stopped
147.5146 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_50dBFS.wav
147.5147 	EXP 	Sound  started
149.4999 	EXP 	Sound  stopped
149.5005 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_40dBFS.wav
149.5005 	EXP 	Sound  started
151.2848 	DATA 	Keypress: 7
151.4847 	EXP 	Sound  stopped
151.4853 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_90dBFS.wav
151.4853 	EXP 	Sound  started
153.4705 	EXP 	Sound  stopped
153.4711 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_80dBFS.wav
153.4711 	EXP 	Sound  started
155.4558 	EXP 	Sound  stopped
155.4564 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_70dBFS.wav
