150.6282 	DATA 	Keypress: 7
150.8281 	EXP 	Sound  stopped
150.8287 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_90dBFS.wav
150.8287 	EXP 	Sound  started
152.6138 	DATA 	Keypress: 7
152.8138 	EXP 	Sound  stopped
152.8143 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_90dBFS.wav
152.8143 	EXP 	Sound  started
154.5997 	DATA 	Keypress: 7
154.7996 	EXP 	Sound  stopped
154.8001 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_90dBFS.wav
154.8002 	EXP 	Sound  started
156.5855 	DATA 	Keypress: 7
156.7854 	EXP 	Sound  stopped
156.7860 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_90dBFS.wav
156.7860 	EXP 	Sound  started
158.7712 	EXP 	Sound  stopped
158.7718 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_80dBFS.wav
158.7718 	EXP 	Sound  started
160.5571 	DATA 	Keypress: 7
160.7571 	EXP 	Sound  stopped
160.7576 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_90dBFS.wav
160.7577 	EXP 	Sound  started
162.7429 	EXP 	Sound  stopped
162.7434 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_80dBFS.wav
162.7434 	EXP 	Sound  started
164.5288 	DATA 	Keypress: 7
164.7287 	EXP 	Sound  stopped
164.7293 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_90dBFS.wav
164.7293 	EXP 	Sound  started
166.5146 	DATA 	Keypress: 7
166.7145 	EXP 	Sound  stopped
166.7151 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_90dBFS.wav
166.7151 	EXP 	Sound  started
168.5004 	DATA 	Keypress: 7
168.7003 	EXP 	Sound  stopped
168.7009 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_90dBFS.wav
168.7009 	EXP 	Sound  started
170.4862 	DATA 	Keypress: 7
170.6862 	EXP 	Sound  stopped
172.6884 	EXP 	window1: blendMode = 'avg'
172.7482 	EXP 	window1: blendMode = 'avg'
172.7846 	EXP 	unnamed TextStim: text = 'Druecke, wenn du keinen Ton mehr hoerst.'
176.8035 	EXP 	window1: blendMode = 'avg'
176.8372 	EXP 	unnamed TextStim: text = 'Jetzt geht es los!'
178.8411 	EXP 	window1: blendMode = 'avg'
178.8719 	EXP 	unnamed TextStim: text = '+'
178.8727 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_20dBFS.wav
178.8727 	EXP 	Sound  started
180.8580 	EXP 	Sound  stopped
180.8750 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_30dBFS.wav
180.8750 	EXP 	Sound  started
182.8603 	EXP 	Sound  stopped
182.8623 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_40dBFS.wav
182.8624 	EXP 	Sound  started
184.8476 	EXP 	Sound  stopped
184.8497 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_50dBFS.wav
184.8497 	EXP 	Sound  started
186.8350 	EXP 	Sound  stopped
186.8369 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_60dBFS.wav
186.8370 	EXP 	Sound  started
188.8208 	EXP 	Sound  stopped
188.8229 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_70dBFS.wav
188.8229 	EXP 	Sound  started
190.8082 	EXP 	Sound  stopped
190.8102 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_80dBFS.wav
190.8102 	EXP 	Sound  started
192.7955 	EXP 	Sound  stopped
192.7961 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_90dBFS.wav
192.7961 	EXP 	Sound  started
194.5815 	DATA 	Keypress: 7
194.7814 	EXP 	Sound  stopped
194.8000 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_20dBFS.wav
194.8000 	EXP 	Sound  started
196.7853 	EXP 	Sound  stopped
196.7872 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_30dBFS.wav
196.7873 	EXP 	Sound  started
198.7725 	EXP 	Sound  stopped
198.7745 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_40dBFS.wav
198.7745 	EXP 	Sound  started
200.7598 	EXP 	Sound  stopped
200.7618 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_50dBFS.wav
200.7618 	EXP 	Sound  started
202.7471 	EXP 	Sound  stopped
202.7491 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_60dBFS.wav
202.7492 	EXP 	Sound  started
204.7344 	EXP 	Sound  stopped
204.7364 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_70dBFS.wav
204.7365 	EXP 	Sound  started
206.7217 	EXP 	Sound  stopped
206.7237 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_80dBFS.wav
206.7238 	EXP 	Sound  started
208.7090 	EXP 	Sound  stopped
208.7097 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_90dBFS.wav
208.7097 	EXP 	Sound  started
210.6949 	EXP 	Sound  stopped
210.6950 	EXP 	Sound  stopped
210.7022 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_20dBFS.wav
210.7022 	EXP 	Sound  started
212.6875 	EXP 	Sound  stopped
212.6895 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_30dBFS.wav
212.6895 	EXP 	Sound  started
214.6748 	EXP 	Sound  stopped
214.6768 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_40dBFS.wav
214.6768 	EXP 	Sound  started
216.6621 	EXP 	Sound  stopped
216.6641 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_50dBFS.wav
216.6641 	EXP 	Sound  started
218.6494 	EXP 	Sound  stopped
218.6513 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_60dBFS.wav
218.6514 	EXP 	Sound  started
220.6356 	EXP 	Sound  stopped
220.6376 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_70dBFS.wav
220.6377 	EXP 	Sound  started
222.6229 	EXP 	Sound  stopped
222.6250 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_80dBFS.wav
222.6250 	EXP 	Sound  started
224.6103 	EXP 	Sound  stopped
224.6109 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_90dBFS.wav
224.6109 	EXP 	Sound  started
226.3963 	DATA 	Keypress: 7
226.5962 	EXP 	Sound  stopped
