Frequency (Hz)	Level (dB)
2939.282227	-50.471344
2950.048828	-53.285114
2960.815430	-55.261280
2971.582031	-57.198753
2982.348633	-56.743084
2993.115234	-55.496052
3003.881836	-54.002369
3014.648438	-53.221123
3025.415039	-53.593338
3036.181641	-47.925690
3046.948242	-39.238678
3057.714844	-41.044540
3068.481445	-51.650688
3079.248047	-53.834984
3090.014648	-55.406204
3100.781250	-56.244381
3111.547852	-56.269321
3122.314453	-56.687355
3133.081055	-57.140804
3143.847656	-57.518116
3154.614258	-57.354542
3165.380859	-55.743790
3176.147461	-45.646252
3186.914062	-44.014538
3197.680664	-52.075500
3208.447266	-56.332932
3219.213867	-57.147930
3229.980469	-57.636684
3240.747070	-57.208881
3251.513672	-57.157127
3262.280273	-56.769371
3273.046875	-56.411255
3283.813477	-56.917233
3294.580078	-56.220921
3305.346680	-42.641541
3316.113281	-37.310455
3326.879883	-43.248222
3337.646484	-54.983246
3348.413086	-56.489056
3359.179688	-57.056141
3369.946289	-57.778355
3380.712891	-56.851257
3391.479492	-56.351524
3402.246094	-56.452160
3413.012695	-56.015247
3423.779297	-54.757862
3434.545898	-41.951912
3445.312500	-32.489456
3456.079102	-34.875568
3466.845703	-49.647259
3477.612305	-53.596386
3488.378906	-52.684200
3499.145508	-52.028496
3509.912109	-52.370258
3520.678711	-52.791389
3531.445312	-52.276405
3542.211914	-51.129082
3552.978516	-50.201210
3563.745117	-44.383621
3574.511719	-31.830805
3585.278320	-30.819920
3596.044922	-40.930599
3606.811523	-48.724209
3617.578125	-50.716400
3628.344727	-51.093327
3639.111328	-50.712349
3649.877930	-49.768261
3660.644531	-49.779346
3671.411133	-48.879654
3682.177734	-47.192558
3692.944336	-46.080173
3703.710938	-35.053894
3714.477539	-30.662220
3725.244141	-37.246563
3736.010742	-47.909824
3746.777344	-49.420876
3757.543945	-49.836979
3768.310547	-51.967331
3779.077148	-53.335091
3789.843750	-53.165752
3800.610352	-53.571545
3811.376953	-54.269054
3822.143555	-46.401600
3832.910156	-40.103554
3843.676758	-40.821457
3854.443359	-45.450111
3865.209961	-54.890381
3875.976562	-56.291988
3886.743164	-57.582653
3897.509766	-58.505146
3908.276367	-58.683781
3919.042969	-58.550175
3929.809570	-58.379414
3940.576172	-58.436962
3951.342773	-57.447258
3962.109375	-51.310963
3972.875977	-49.101482
3983.642578	-50.764179
3994.409180	-58.181046
4005.175781	-59.470539
4015.942383	-59.189526
4026.708984	-59.885944
4037.475586	-60.225571
4048.242188	-59.857903
4059.008789	-59.994572
4069.775391	-59.812069
4080.541992	-59.692955
4091.308594	-59.635780
4102.075195	-58.733963
4112.841797	-58.027645
4123.608398	-59.569157
4134.375000	-59.658627
4145.141602	-59.079868
4155.908203	-59.726974
4166.674805	-60.530632
4177.441406	-59.908855
4188.208008	-60.396183
4198.974609	-59.911926
4209.741211	-59.738991
4220.507812	-60.059849
4231.274414	-60.179073
4242.041016	-60.073689
4252.807617	-59.874149
4263.574219	-60.637524
4274.340820	-60.762440
4285.107422	-60.004364
4295.874023	-60.017467
4306.640625	-60.142277
4317.407227	-59.986420
4328.173828	-60.226013
4338.940430	-60.168304
4349.707031	-60.347145
4360.473633	-60.200794
4371.240234	-60.006729
4382.006836	-60.107586
4392.773438	-60.435036
4403.540039	-60.449917
4414.306641	-60.151615
4425.073242	-60.608337
4435.839844	-60.940765
4446.606445	-60.316967
4457.373047	-60.107941
4468.139648	-60.118336
4478.906250	-60.467243
4489.672852	-60.270039
4500.439453	-59.660469
4511.206055	-58.931755
4521.972656	-59.785656
4532.739258	-59.955128
4543.505859	-60.034367
4554.272461	-60.717731
4565.039062	-60.786697
4575.805664	-60.504635
4586.572266	-60.347256
4597.338867	-60.915623
4608.105469	-61.099285
4618.872070	-60.636024
4629.638672	-59.865658
