Frequency (Hz)	Level (dB)
2939.282227	-53.147068
2950.048828	-55.043201
2960.815430	-54.555222
2971.582031	-53.282742
2982.348633	-52.939430
2993.115234	-52.463425
3003.881836	-51.533989
3014.648438	-50.445942
3025.415039	-50.713966
3036.181641	-50.987888
3046.948242	-50.903698
3057.714844	-50.774471
3068.481445	-51.110912
3079.248047	-50.982822
3090.014648	-50.336803
3100.781250	-50.857552
3111.547852	-51.065002
3122.314453	-50.847122
3133.081055	-49.726158
3143.847656	-49.306450
3154.614258	-48.351128
3165.380859	-48.439903
3176.147461	-48.874454
3186.914062	-49.171833
3197.680664	-50.144844
3208.447266	-49.036026
3219.213867	-48.707279
3229.980469	-49.095844
3240.747070	-49.405376
3251.513672	-48.930630
3262.280273	-49.377647
3273.046875	-50.800552
3283.813477	-50.884048
3294.580078	-50.278431
3305.346680	-49.169540
3316.113281	-49.199635
3326.879883	-49.098953
3337.646484	-49.190346
3348.413086	-49.382549
3359.179688	-50.028751
3369.946289	-51.773739
3380.712891	-52.800034
3391.479492	-52.883617
3402.246094	-52.980534
3413.012695	-52.929825
3423.779297	-52.074715
3434.545898	-51.720627
3445.312500	-52.759777
3456.079102	-53.458294
3466.845703	-53.473984
3477.612305	-53.166058
3488.378906	-53.338867
3499.145508	-53.463902
3509.912109	-53.388435
3520.678711	-53.380856
3531.445312	-53.700722
3542.211914	-52.972702
3552.978516	-52.599186
3563.745117	-53.492207
3574.511719	-53.498348
3585.278320	-53.121918
3596.044922	-53.344437
3606.811523	-54.420349
3617.578125	-53.866276
3628.344727	-52.523026
3639.111328	-51.859680
3649.877930	-51.636791
3660.644531	-52.287228
3671.411133	-52.642246
3682.177734	-52.689159
3692.944336	-53.357475
3703.710938	-53.492893
3714.477539	-53.338665
3725.244141	-52.562965
3736.010742	-52.155579
3746.777344	-52.479279
3757.543945	-51.894447
3768.310547	-52.203327
3779.077148	-52.857422
3789.843750	-53.683907
3800.610352	-53.806477
3811.376953	-54.163429
3822.143555	-54.265236
3832.910156	-53.446125
3843.676758	-53.176552
3854.443359	-53.449184
3865.209961	-53.060760
3875.976562	-51.952888
3886.743164	-52.234150
3897.509766	-53.422642
3908.276367	-54.047482
3919.042969	-54.121021
3929.809570	-53.657192
3940.576172	-53.609268
3951.342773	-52.247162
3962.109375	-52.122684
3972.875977	-52.526104
3983.642578	-52.540085
3994.409180	-52.320606
4005.175781	-52.878799
4015.942383	-53.312462
4026.708984	-53.451214
4037.475586	-54.207722
4048.242188	-53.808201
4059.008789	-53.769901
4069.775391	-53.962841
4080.541992	-53.983749
4091.308594	-53.360161
4102.075195	-52.803085
4112.841797	-52.730167
4123.608398	-53.459259
4134.375000	-53.971058
4145.141602	-54.566055
4155.908203	-55.918320
4166.674805	-55.722179
4177.441406	-55.365097
4188.208008	-54.521294
4198.974609	-54.667549
4209.741211	-54.772095
4220.507812	-54.766701
4231.274414	-55.112240
4242.041016	-54.943703
4252.807617	-54.422752
4263.574219	-54.696896
4274.340820	-55.197395
4285.107422	-54.299057
4295.874023	-54.269009
4306.640625	-54.288837
4317.407227	-54.343430
4328.173828	-54.278770
4338.940430	-53.937149
4349.707031	-53.568836
4360.473633	-53.552963
4371.240234	-54.385456
4382.006836	-54.225929
4392.773438	-53.580624
4403.540039	-54.058044
4414.306641	-54.479485
4425.073242	-54.963257
4435.839844	-56.793625
4446.606445	-57.233025
4457.373047	-57.032627
4468.139648	-56.210888
4478.906250	-55.590355
4489.672852	-54.969601
4500.439453	-54.742706
4511.206055	-54.850243
4521.972656	-54.004223
4532.739258	-53.879105
4543.505859	-54.038906
4554.272461	-53.473972
4565.039062	-53.079285
4575.805664	-52.268044
4586.572266	-52.383419
4597.338867	-52.726837
4608.105469	-52.901558
4618.872070	-52.849987
4629.638672	-53.170887
4640.405273	-53.689537
4651.171875	-53.271973
4661.938477	-53.206203
4672.705078	-53.325397
4683.471680	-53.467007
4694.238281	-53.320911
4705.004883	-53.083530
4715.771484	-53.371605
4726.538086	-53.479897
4737.304688	-53.501743
4748.071289	-52.490864
4758.837891	-51.647907
4769.604492	-51.602783
4780.371094	-51.047310
4791.137695	-50.430332
4801.904297	-51.123905
4812.670898	-51.843445
4823.437500	-53.476517
4834.204102	-52.930191
4844.970703	-52.672054
4855.737305	-52.553150
4866.503906	-52.678627
4877.270508	-53.430401
4888.037109	-53.377678
4898.803711	-52.513668
4909.570312	-52.132339
4920.336914	-53.223949
4931.103516	-53.177860
4941.870117	-52.348637
4952.636719	-52.821018
4963.403320	-52.670914
4974.169922	-52.954433
4984.936523	-54.283394
4995.703125	-53.943871
5006.469727	-52.741112
5017.236328	-52.373718
5028.002930	-53.289219
5038.769531	-54.094559
5049.536133	-54.284000
5060.302734	-52.923042
5071.069336	-53.051800
5081.835938	-54.795753
5092.602539	-55.452801
5103.369141	-55.345928
5114.135742	-54.806114
5124.902344	-54.684059
5135.668945	-53.941082
5146.435547	-53.695793
5157.202148	-53.496494
5167.968750	-54.374542
5178.735352	-55.637367
5189.501953	-55.295761
5200.268555	-55.325138
5211.035156	-55.684864
5221.801758	-55.975235
5232.568359	-56.090889
5243.334961	-55.815853
5254.101562	-55.717800
5264.868164	-55.894382
5275.634766	-56.483513
5286.401367	-56.811436
5297.167969	-57.872906
5307.934570	-57.245647
5318.701172	-57.428261
5329.467773	-57.890007
5340.234375	-57.383663
5351.000977	-57.218864
5361.767578	-57.500984
5372.534180	-57.516533
5383.300781	-57.728218
5394.067383	-56.871796
5404.833984	-56.296368
5415.600586	-57.054531
5426.367188	-57.138172
5437.133789	-56.686359
5447.900391	-56.366913
5458.666992	-56.678833
5469.433594	-57.346939
5480.200195	-57.582256
5490.966797	-58.962242
5501.733398	-59.250084
5512.500000	-58.909924
5523.266602	-56.825783
5534.033203	-56.374733
5544.799805	-56.616386
5555.566406	-57.557568
5566.333008	-56.277725
5577.099609	-56.351780
5587.866211	-57.576347
5598.632812	-57.574356
5609.399414	-57.841278
5620.166016	-57.406467
5630.932617	-56.627735
5641.699219	-57.283329
5652.465820	-56.971153
5663.232422	-56.776684
5673.999023	-56.784828
5684.765625	-57.179756
5695.532227	-56.920204
5706.298828	-57.598846
5717.065430	-56.625946
5727.832031	-56.517838
5738.598633	-58.271179
5749.365234	-59.490093
5760.131836	-59.912792
5770.898438	-58.480667
5781.665039	-57.139492
5792.431641	-56.131058
5803.198242	-54.969772
5813.964844	-55.579170
5824.731445	-57.048260
5835.498047	-56.866287
5846.264648	-57.702816
5857.031250	-58.618534
5867.797852	-58.415379
5878.564453	-57.879379
5889.331055	-57.836056
5900.097656	-58.241116
5910.864258	-58.621384
5921.630859	-57.106178
5932.397461	-56.713905
5943.164062	-57.953018
5953.930664	-58.182819
5964.697266	-57.593361
5975.463867	-57.425106
5986.230469	-58.136627
5996.997070	-58.784172
6007.763672	-57.592407
6018.530273	-56.734825
6029.296875	-57.085789
6040.063477	-57.964745
6050.830078	-58.446064
6061.596680	-58.859570
6072.363281	-58.573025
6083.129883	-57.326511
6093.896484	-57.105522
6104.663086	-57.093449
6115.429688	-56.835617
6126.196289	-57.197685
6136.962891	-57.984226
6147.729492	-58.398067
6158.496094	-58.680244
6169.262695	-58.267735
6180.029297	-58.259098
6190.795898	-58.007484
6201.562500	-57.845116
6212.329102	-56.860214
6223.095703	-57.252808
6233.862305	-58.489235
6244.628906	-58.038986
6255.395508	-57.351631
6266.162109	-57.409084
6276.928711	-57.781185
6287.695312	-57.255821
6298.461914	-57.335804
6309.228516	-57.109322
6319.995117	-56.015705
6330.761719	-56.511932
6341.528320	-57.982616
6352.294922	-58.301449
6363.061523	-58.746307
6373.828125	-59.374771
6384.594727	-58.415470
6395.361328	-58.566021
6406.127930	-59.298279
6416.894531	-59.269821
6427.661133	-57.619274
6438.427734	-57.601574
6449.194336	-58.545502
6459.960938	-58.582821
6470.727539	-58.882946
6481.494141	-58.565022
6492.260742	-58.675369
6503.027344	-59.045391
6513.793945	-59.364723
6524.560547	-59.838200
6535.327148	-59.644882
6546.093750	-59.174141
6556.860352	-59.456379
6567.626953	-59.699356
6578.393555	-59.914948
6589.160156	-58.820141
6599.926758	-58.102848
6610.693359	-57.953609
6621.459961	-58.782986
6632.226562	-58.594418
6642.993164	-58.447659
6653.759766	-59.033283
6664.526367	-58.986942
6675.292969	-59.771988
6686.059570	-59.964123
6696.826172	-60.299828
6707.592773	-60.500648
6718.359375	-59.230049
6729.125977	-59.169857
6739.892578	-59.902699
6750.659180	-59.733704
6761.425781	-59.450191
6772.192383	-59.565632
6782.958984	-59.189365
6793.725586	-59.804348
6804.492188	-61.068375
6815.258789	-60.738754
6826.025391	-60.290108
6836.791992	-60.349457
6847.558594	-60.915405
6858.325195	-60.369431
6869.091797	-60.962860
6879.858398	-61.025524
6890.625000	-60.603214
6901.391602	-60.994907
6912.158203	-60.959263
6922.924805	-60.752644
6933.691406	-60.549492
6944.458008	-60.872890
6955.224609	-60.049999
6965.991211	-60.894310
6976.757812	-60.971371
6987.524414	-61.728798
6998.291016	-61.748081
7009.057617	-61.450027
7019.824219	-60.835712
7030.590820	-60.987473
7041.357422	-60.176464
7052.124023	-60.588505
7062.890625	-60.865078
7073.657227	-61.631275
7084.423828	-61.322659
7095.190430	-61.294376
7105.957031	-61.991806
7116.723633	-61.849823
7127.490234	-61.556332
7138.256836	-61.272285
7149.023438	-60.467129
7159.790039	-59.949245
7170.556641	-59.597820
7181.323242	-60.321392
7192.089844	-61.180504
7202.856445	-61.483177
7213.623047	-61.411652
7224.389648	-61.385960
7235.156250	-61.729912
7245.922852	-61.549759
7256.689453	-61.811993
7267.456055	-61.074192
